id, latitude, longitude, comm
13258556,40.7403578105,-73.9805283364,0
6938024,40.7931338659,-73.9753416224,4
839797,40.7770068767,-73.9467860143,0
5902026,40.7166271407,-73.9992138337,0
8021726,40.7308908497,-73.985821505,5
9133278,40.8271056198,-73.9398857534,8
7602400,40.7263392369,-74.0010129233,0
12963817,40.7379211119,-73.9986929995,4
4807192,40.6394213866,-73.9650036725,1
3758669,40.7219982543,-73.9830208694,0
4474843,40.6653200006,-73.9562742063,25
13156881,40.8226740297,-73.9467746343,21
11418271,40.7826980721,-73.9780593439,1
10882066,40.7131944185,-73.9566918012,0
8470491,40.7303541989,-73.9856622143,8
7939788,40.7902501298,-73.9482046346,4
12064283,40.7239915271,-73.9910858846,1
4708314,40.7201819983,-73.960546716,0
5321256,40.6994532486,-73.9390304091,0
13411367,40.7135665939,-73.942085808,29
8217236,40.7055645276,-74.0127286502,25
2592640,40.6913458508,-73.9469430489,6
5500041,40.6653485009,-73.9509266114,6
7758435,40.6726236975,-73.9351779564,0
173151,40.7290106107,-73.9581230913,13
13185305,40.8455474743,-73.939122403,11
1330775,40.7039155543,-73.9363469741,0
7964931,40.7359420344,-74.0026876154,0
5114347,40.6869923497,-73.9318280078,0
10967749,40.7625371227,-73.9997432971,3
14451686,40.7343500309,-74.0065987376,35
11844082,40.7168929792,-73.95192778,0
1302596,40.7325634301,-74.0079727196,13
9886735,40.6655546402,-73.956134867,31
15162767,40.7520682823,-73.971483645,32
6766662,40.7696380638,-73.9140244828,32
5512274,40.7342557866,-74.0052544846,3
14884692,40.6937840496,-73.9438062518,0
14322766,40.6972252918,-73.933668267,5
2119629,40.7282379961,-73.984658229,5
15324542,40.6951708302,-73.9401338447,25
15790816,40.8023696892,-73.9660122019,0
323059,40.730862525,-74.0062200049,4
13020422,40.7129296855,-73.9602999962,6
16167555,40.6921148011,-73.9345108929,5
3466991,40.7606187623,-73.9303923361,4
14530530,40.6895013566,-73.970242521,0
2256268,40.7797622375,-73.9826824988,0
13941411,40.7885081992,-73.9475234301,0
7341541,40.7341487823,-73.9995632491,25
836952,40.7347851533,-73.9995795402,0
3693262,40.7292708178,-73.9899030217,0
14983453,40.8120475858,-73.9527300899,13
7840934,40.769469713,-73.9563231666,6
12600198,40.7649387019,-73.9275162059,31
6914332,40.8375098598,-73.9439247556,4
14721995,40.6744139903,-73.9507572737,1
3328706,40.7989315353,-73.9624872539,6
3518865,40.8166440184,-73.9441891128,23
168084,40.7257759236,-73.9787869451,0
15939570,40.7341642566,-74.0069203158,4
14290366,40.6796502849,-73.9213044862,5
6571441,40.6852690705,-73.9530651716,6
9316086,40.7147283112,-73.9492615136,8
10773469,40.7073380664,-73.9205686882,0
4841636,40.6749793433,-73.957770887,1
12145787,40.7202845023,-73.9934922817,0
14424433,40.6833690253,-73.9278376176,4
69426,40.7220271266,-73.9863088706,0
14606167,40.729974716,-74.0061868901,0
14334031,40.8373481778,-73.9435063406,4
479255,40.7202078921,-73.9850199238,0
2690557,40.7060969903,-73.9274611288,4
16174653,40.7518413325,-73.974351973,8
2079671,40.8232263538,-73.9441413015,8
9835118,40.726620913,-73.9471596975,0
15215050,40.7099523605,-73.9623617217,4
5469856,40.8008929672,-73.955817422,10
4605840,40.6885310524,-73.9498034668,4
4377444,40.6845549287,-73.9449599433,11
7732603,40.7288091711,-74.0015289912,12
14779590,40.7160032211,-73.9550019339,0
6185409,40.7065156443,-73.9227434076,0
13050,40.6855422591,-73.9409022274,0
15605025,40.8210051491,-73.9558404869,13
9281747,40.7604618372,-73.990099398,34
8304576,40.7069753954,-74.0138338734,13
16177107,40.6887946089,-73.9746194259,0
12624783,40.6900931815,-73.9574039416,5
8913672,40.7107992834,-74.0059144702,0
10937904,40.8179436949,-73.9432635054,3
6188014,40.7790090643,-73.9759623427,10
7277143,40.7787714819,-73.9482414342,23
3602739,40.7144479163,-73.9928691365,34
13590879,40.714690913,-73.9412660513,24
