id, longitude, latitude, comm
0,-73.9815,40.763992,0
1,-73.986244,40.72051,1
2,-73.985016,40.7183,1
3,-74.00185,40.719845,2
4,-73.99375,40.741604,3
5,-73.98938,40.626503,4
6,-74.008286,40.70461,5
7,-73.91069,40.776512,6
8,-73.93929,40.74993,7
9,-73.98595,40.664787,4
10,-73.9825,40.767277,8
11,-74.038025,40.726624,9
12,-74.0334,40.766193,10
13,-73.97372,40.743526,3
15,-73.955894,40.78468,12
16,-73.98439,40.757206,0
17,-73.988335,40.777145,8
18,-73.958824,40.774708,13
19,-73.9985,40.723225,2
20,-74.03001,40.740295,9
21,-73.942474,40.791416,5
22,-73.937836,40.74914,6
23,-73.97428,40.785206,8
24,-73.87861,40.741997,14
25,-73.995544,40.69509,15
26,-74.00319,40.84051,10
27,-73.89212,40.76265,6
28,-74.00936,40.60009,16
29,-73.987305,40.66798,4
31,-73.98958,40.72936,1
33,-73.90854,40.622208,19
34,-73.986946,40.740723,3
35,-74.01599,40.70742,20
36,-73.73733,40.714016,21
37,-73.98785,40.734795,3
38,-73.94959,40.71595,22
39,-73.984886,40.757496,0
40,-73.613205,40.739357,21
41,-73.988396,40.753418,0
42,-74.0085,40.611202,23
43,-73.98689,40.764523,0
44,-73.61247,40.731903,21
46,-73.87424,40.73451,14
47,-73.98187,40.779495,8
48,-73.93438,40.80577,6
49,-73.66723,40.69574,25
50,-73.49094,40.746464,21
52,-74.21252,40.536667,16
53,-74.00563,40.750946,27
54,-74.02848,40.622547,23
55,-73.80903,40.72035,7
57,-74.03266,40.718933,9
58,-73.940254,40.692673,29
59,-73.83848,40.653915,30
61,-73.85629,40.870438,5
63,-73.88889,40.81524,32
64,-73.96163,40.57485,23
65,-73.970924,40.770596,8
66,-73.96923,40.687305,4
67,-73.61613,40.74784,21
68,-74.1286,40.612522,16
69,-73.8462,40.72175,30
71,-73.99634,40.72036,2
72,-73.97649,40.747917,15
73,-73.99544,40.753487,33
74,-73.99711,40.711765,4
75,-73.873314,40.773712,14
76,-73.98921,40.71895,1
77,-73.98204,40.72621,1
78,-74.00311,40.73016,34
79,-74.16565,40.542667,16
82,-73.94519,40.807583,5
83,-73.98672,40.749428,33
84,-73.99878,40.724453,2
85,-74.00292,40.714508,2
86,-74.00808,40.712273,29
87,-73.99037,40.726658,1
88,-74.00689,40.73037,34
89,-73.98204,40.74737,8
90,-73.98128,40.774387,8
92,-73.950325,40.802334,5
93,-73.986694,40.745537,8
94,-73.98157,40.743862,3
95,-73.984024,40.72027,1
96,-73.98605,40.73495,3
97,-74.01307,40.715973,2
98,-73.997116,40.71294,2
99,-73.99384,40.750443,33
100,-73.99338,40.748325,33
101,-73.99801,40.744946,27
102,-73.97561,40.760822,13
103,-73.92056,40.727715,6
104,-73.94133,40.82368,5
105,-73.98661,40.640335,10
106,-73.98712,40.722492,1
107,-73.965576,40.805656,5
108,-73.971596,40.675995,4
109,-74.000305,40.738125,27
110,-73.998474,40.69178,4
111,-73.85664,40.964165,15
112,-73.99011,40.723747,1
113,-73.98771,40.729645,3
114,-73.97559,40.686745,4
115,-73.99459,40.738853,3
116,-73.89001,40.74753,14
117,-73.9877,40.723892,1
118,-73.988785,40.729107,1
119,-73.97988,40.770653,8
121,-74.03345,40.736294,9
123,-73.929375,40.64199,19
125,-73.885574,40.738716,14
126,-73.96928,40.678158,4
127,-74.00927,40.717285,20
128,-73.938034,40.8474,40
129,-73.97657,40.75158,15
130,-73.93956,40.84124,40
131,-73.96802,40.576538,23
132,-73.95656,40.635773,19
133,-73.89184,40.74746,14
134,-74.009964,40.83246,10
135,-73.914856,40.839455,40
136,-74.1369,40.62525,16
137,-74.00876,40.752293,27
138,-73.76507,40.76172,14
139,-73.9958,40.743687,27
140,-73.98252,40.745163,20
141,-73.970795,40.758354,8
142,-73.92567,40.830086,32
143,-73.974434,40.758163,13
144,-74.016594,40.788376,9
145,-73.97685,40.73116,1
146,-73.98946,40.74427,3
147,-73.94128,40.813213,5
149,-74.00755,40.728626,34
150,-73.90226,40.854317,32
151,-73.927246,40.752262,0
152,-73.9371,40.856003,40
153,-73.97184,40.760323,13
154,-73.8772,40.84525,32
155,-73.987236,40.826614,10
156,-73.95531,40.821182,5
157,-74.00835,40.71289,20
158,-73.68802,40.734833,21
159,-73.98459,40.66848,4
160,-73.98776,40.69189,29
161,-74.003685,40.738667,27
162,-73.94293,40.700645,29
163,-73.92546,40.864094,32
164,-73.990005,40.741882,3
165,-73.98365,40.743816,29
166,-73.81863,40.74985,7
167,-73.83592,40.71745,7
168,-73.99315,40.72365,3
169,-73.985634,40.753662,3
170,-74.04578,40.723686,9
171,-73.974594,40.66469,23
172,-73.65519,40.640564,25
173,-73.865425,40.73642,14
174,-74.00063,40.719505,2
175,-73.991066,40.729206,1
176,-74.00818,40.70782,20
177,-73.98945,40.726856,1
179,-73.98384,40.726933,1
180,-74.00247,40.73974,0
181,-73.947876,40.784252,12
182,-74.02202,40.767834,10
183,-73.955055,40.776726,12
184,-73.95386,40.78566,12
185,-73.94783,40.717636,22
186,-73.97842,40.75926,13
187,-73.905304,40.87831,40
188,-73.98358,40.743748,3
190,-73.986786,40.664616,4
191,-74.0167,40.70189,20
192,-73.98889,40.76391,0
194,-73.98414,40.824764,10
195,-73.98819,40.726887,1
196,-73.97512,40.763996,13
197,-73.63519,40.732456,21
198,-73.84655,40.69446,30
199,-74.00551,40.72584,2
200,-74.026695,40.750507,9
201,-73.7035,40.7082,25
202,-73.99235,40.748688,33
203,-74.009575,40.736187,27
204,-73.95024,40.72747,34
205,-73.97066,40.754505,12
206,-73.86479,40.71998,30
207,-73.87349,40.84189,32
208,-73.98551,40.75395,0
211,-74.00147,40.741497,27
212,-73.99899,40.73811,27
213,-73.91242,40.77659,6
214,-73.99123,40.734303,3
215,-73.859215,40.729317,30
216,-73.86925,40.690586,19
217,-73.98392,40.752316,0
218,-74.00032,40.73018,34
219,-73.98736,40.753357,0
220,-74.00614,40.7106,20
221,-73.9888,40.758423,0
222,-73.95292,40.694866,15
224,-73.984825,40.76899,8
225,-73.97946,40.67757,29
227,-73.98309,40.691868,29
228,-73.993484,40.73918,10
229,-73.98471,40.745247,0
230,-73.71522,40.78251,7
231,-73.98465,40.73906,3
232,-73.85049,40.875862,32
233,-73.9764,40.753902,15
234,-73.98549,40.758392,0
235,-73.670425,40.66599,25
236,-73.63621,40.7461,21
237,-74.01643,40.69294,20
238,-74.00439,40.736546,20
240,-74.00643,40.7231,2
241,-73.93718,40.726276,22
242,-73.98001,40.684967,4
243,-74.08405,40.59786,16
244,-73.83534,40.776196,14
245,-73.95876,40.71252,22
246,-74.00001,40.730656,34
247,-73.93721,40.855267,40
248,-73.9589,40.796883,5
249,-73.997185,40.756397,0
250,-73.924995,40.862106,40
252,-74.01784,40.641533,29
253,-73.98655,40.636887,23
254,-74.00864,40.748653,27
255,-73.97469,40.772205,8
256,-73.931946,40.86166,40
257,-73.978874,40.756947,13
258,-73.94219,40.63893,2
260,-73.96899,40.755676,15
261,-73.9822,40.746426,33
262,-73.88505,40.751614,14
263,-73.97721,40.681076,4
264,-73.635086,40.730953,21
266,-73.99704,40.758114,10
268,-73.95719,40.60988,23
270,-73.99127,40.71992,3
271,-73.67644,40.658184,25
272,-74.04768,40.76465,10
273,-73.91425,40.70735,30
275,-73.98541,40.73172,1
276,-74.03799,40.713837,9
277,-73.99044,40.7342,3
279,-74.001015,40.71877,2
280,-73.92636,40.82955,32
281,-73.92357,40.740105,6
282,-73.99588,40.736004,3
284,-73.984024,40.75143,33
285,-73.99158,40.71721,2
286,-74.03358,40.617653,23
287,-73.85785,40.771687,29
288,-73.97561,40.76065,27
289,-73.95967,40.810383,5
291,-73.79429,40.73299,7
292,-74.01834,40.777416,10
293,-73.940994,40.79826,5
294,-73.99537,40.74298,1
295,-74.028046,40.74378,1
296,-74.00422,40.72553,34
297,-73.954384,40.730927,22
298,-73.98094,40.781452,8
299,-74.01026,40.745815,27
300,-73.98871,40.748512,33
301,-73.97251,40.683754,4
302,-73.77772,40.714203,54
303,-74.03368,40.72029,9
304,-73.98834,40.73478,3
305,-73.95145,40.773853,13
306,-73.8862,40.858784,40
308,-74.00093,40.761425,0
309,-74.00197,40.727947,2
310,-73.88115,40.756226,14
311,-74.007034,40.648235,3
312,-73.941444,40.83876,40
313,-73.99206,40.742577,3
314,-74.012085,40.708755,20
315,-74.04943,40.79019,10
316,-73.9946,40.721226,2
317,-73.70006,40.739773,21
318,-73.96806,40.69169,4
320,-74.112236,40.571884,16
322,-73.96516,40.808414,5
323,-73.988335,40.723663,1
324,-73.86714,40.865303,32
325,-73.92539,40.754814,6
326,-73.94774,40.633305,19
327,-73.73675,40.769234,7
328,-73.81868,40.837864,14
329,-73.965416,40.805984,5
330,-73.95648,40.671463,4
331,-73.99807,40.604343,23
332,-73.97607,40.76294,13
333,-74.007515,40.63747,23
334,-73.86179,40.749763,14
335,-74.24632,40.50887,16
336,-73.990456,40.71467,1
338,-73.992805,40.73709,3
339,-73.983604,40.67243,4
340,-74.035675,40.71647,9
342,-73.98447,40.72556,1
343,-74.242874,40.515015,16
344,-73.99317,40.744934,15
345,-73.99041,40.73711,3
346,-73.97865,40.753784,15
347,-74.01145,40.72554,27
348,-73.916595,40.76477,6
349,-73.68122,40.66824,21
350,-73.96799,40.76142,15
351,-73.98076,40.641964,19
352,-73.99239,40.72268,1
353,-73.85252,40.74786,7
354,-74.069626,40.60378,16
356,-73.973465,40.783867,15
357,-73.978485,40.679375,6
358,-73.953835,40.721146,22
360,-73.96659,40.85081,10
361,-74.00072,40.6009,0
362,-73.98805,40.703194,29
363,-73.96082,40.759636,30
364,-73.66478,40.70671,25
365,-73.62007,40.74365,21
366,-73.93828,40.58975,19
369,-73.91739,40.769997,6
371,-74.00822,40.707653,20
372,-73.98452,40.72191,1
373,-73.782036,40.75388,7
374,-73.944214,40.824776,5
375,-73.95554,40.785164,12
376,-74.01135,40.70505,20
378,-73.98311,40.677315,2
379,-74.00969,40.741505,27
380,-73.8535,40.915703,32
381,-73.919914,40.847527,40
382,-73.776146,40.690857,54
383,-73.95055,40.670525,4
385,-73.8825,40.744656,54
386,-74.200645,40.52487,16
387,-73.796196,40.707386,54
388,-73.99464,40.696064,29
389,-73.9438,40.710262,1
390,-73.99034,40.68702,29
391,-73.940865,40.79825,5
392,-73.96149,40.629948,23
394,-73.90018,40.81187,32
395,-73.996185,40.758835,27
396,-73.95754,40.714413,22
397,-73.993774,40.73594,3
398,-73.97476,40.780537,8
399,-74.004456,40.736374,33
400,-73.64614,40.659157,25
401,-73.906654,40.880035,40
402,-74.02962,40.74128,9
404,-73.81736,40.776672,7
405,-74.00363,40.724976,2
