id, comm, latitude, longitude
0, 0, 40.763992, -73.9815
1, 1, 40.72051, -73.986244
2, 2, 40.7183, -73.985016
3, 3, 40.719845, -74.00185
4, 0, 40.741604, -73.99375
5, 4, 40.626503, -73.98938
6, 4, 40.70461, -74.008286
7, 5, 40.776512, -73.91069
8, 6, 40.74993, -73.93929
9, 7, 40.664787, -73.98595
10, 0, 40.767277, -73.9825
11, 1, 40.726624, -74.038025
12, 8, 40.766193, -74.0334
13, 6, 40.743526, -73.97372
15, 5, 40.78468, -73.955894
16, 10, 40.757206, -73.98439
17, 0, 40.777145, -73.988335
18, 11, 40.774708, -73.958824
19, 8, 40.723225, -73.9985
20, 0, 40.740295, -74.03001
21, 12, 40.791416, -73.942474
22, 13, 40.74914, -73.937836
23, 6, 40.785206, -73.97428
24, 0, 40.741997, -73.87861
25, 4, 40.69509, -73.995544
26, 8, 40.84051, -74.00319
27, 4, 40.76265, -73.89212
28, 14, 40.60009, -74.00936
29, 0, 40.66798, -73.987305
31, 4, 40.72936, -73.98958
33, 8, 40.622208, -73.90854
34, 0, 40.740723, -73.986946
35, 14, 40.70742, -74.01599
36, 5, 40.714016, -73.73733
37, 0, 40.734795, -73.98785
38, 17, 40.71595, -73.94959
39, 18, 40.757496, -73.984886
40, 19, 40.739357, -73.613205
41, 0, 40.753418, -73.988396
42, 8, 40.611202, -74.0085
43, 0, 40.764523, -73.98689
44, 4, 40.731903, -73.61247
46, 8, 40.73451, -73.87424
47, 6, 40.779495, -73.98187
48, 0, 40.80577, -73.93438
49, 21, 40.69574, -73.66723
50, 14, 40.746464, -73.49094
52, 14, 40.536667, -74.21252
53, 0, 40.750946, -74.00563
54, 23, 40.622547, -74.02848
55, 24, 40.72035, -73.80903
56, 13, 40.92577, -73.85757
57, 0, 40.718933, -74.03266
58, 25, 40.692673, -73.940254
59, 25, 40.653915, -73.83848
60, 5, 40.90803, -73.83473
61, 17, 40.870438, -73.85629
62, 23, 40.637794, -73.78562
63, 8, 40.81524, -73.88889
64, 17, 40.57485, -73.96163
65, 5, 40.770596, -73.970924
66, 0, 40.687305, -73.96923
67, 26, 40.74784, -73.61613
68, 5, 40.612522, -74.1286
69, 5, 40.72175, -73.8462
70, 3, 40.93333, -73.75846
71, 21, 40.72036, -73.99634
72, 0, 40.747917, -73.97649
73, 0, 40.753487, -73.99544
74, 1, 40.711765, -73.99711
75, 4, 40.773712, -73.873314
76, 18, 40.71895, -73.98921
77, 8, 40.72621, -73.98204
78, 0, 40.73016, -74.00311
79, 8, 40.542667, -74.16565
82, 8, 40.807583, -73.94519
83, 8, 40.749428, -73.98672
84, 23, 40.724453, -73.99878
85, 4, 40.714508, -74.00292
86, 4, 40.712273, -74.00808
87, 0, 40.726658, -73.99037
88, 29, 40.73037, -74.00689
89, 1, 40.74737, -73.98204
90, 0, 40.774387, -73.98128
92, 5, 40.802334, -73.950325
93, 0, 40.745537, -73.986694
94, 0, 40.743862, -73.98157
95, 10, 40.72027, -73.984024
96, 3, 40.73495, -73.98605
97, 1, 40.715973, -74.01307
98, 1, 40.71294, -73.997116
99, 4, 40.750443, -73.99384
100, 31, 40.748325, -73.99338
101, 17, 40.744946, -73.99801
102, 18, 40.760822, -73.97561
103, 25, 40.727715, -73.92056
104, 31, 40.82368, -73.94133
105, 8, 40.640335, -73.98661
106, 31, 40.722492, -73.98712
107, 0, 40.805656, -73.965576
108, 7, 40.675995, -73.971596
109, 5, 40.738125, -74.000305
110, 1, 40.69178, -73.998474
111, 11, 40.964165, -73.85664
112, 32, 40.723747, -73.99011
113, 14, 40.729645, -73.98771
114, 21, 40.686745, -73.97559
115, 0, 40.738853, -73.99459
116, 4, 40.74753, -73.89001
117, 1, 40.723892, -73.9877
118, 3, 40.729107, -73.988785
119, 5, 40.770653, -73.97988
120, 24, 40.75726, -73.998116
121, 8, 40.736294, -74.03345
123, 4, 40.64199, -73.929375
124, 0, 40.642452, -73.79036
125, 29, 40.738716, -73.885574
126, 0, 40.678158, -73.96928
127, 1, 40.717285, -74.00927
128, 0, 40.8474, -73.938034
129, 3, 40.75158, -73.97657
130, 1, 40.84124, -73.93956
131, 13, 40.576538, -73.96802
132, 4, 40.635773, -73.95656
133, 34, 40.74746, -73.89184
134, 8, 40.83246, -74.009964
135, 35, 40.839455, -73.914856
136, 1, 40.62525, -74.1369
137, 0, 40.752293, -74.00876
138, 29, 40.76172, -73.76507
139, 23, 40.743687, -73.9958
140, 18, 40.745163, -73.98252
141, 0, 40.758354, -73.970795
142, 0, 40.830086, -73.92567
143, 0, 40.758163, -73.974434
144, 8, 40.788376, -74.016594
145, 1, 40.73116, -73.97685
146, 0, 40.74427, -73.98946
147, 29, 40.813213, -73.94128
148, 13, 40.71425, -74.0065
149, 29, 40.728626, -74.00755
150, 1, 40.854317, -73.90226
151, 36, 40.752262, -73.927246
152, 5, 40.856003, -73.9371
153, 1, 40.760323, -73.97184
154, 3, 40.84525, -73.8772
155, 8, 40.826614, -73.987236
